Fecha y Hora,Presión
(año/mes/día hora:minuto:segundo),(PSI)
2015/02/09 16:24:01,17.6
2015/02/09 16:24:11,17.9
2015/02/09 16:24:22,17.8
2015/02/09 16:24:33,17.7
2015/02/09 16:24:43,16.3
2015/02/09 16:24:54,17.6
2015/02/09 16:25:04,17.6
2015/02/09 16:25:15,17.4
2015/02/09 16:25:26,17.4
2015/02/09 16:25:36,17.4
2015/02/09 16:25:47,17.9
2015/02/09 16:25:57,17.8
2015/02/09 16:26:08,17.7
2015/02/09 16:26:19,14.7
2015/02/09 16:26:29,17.3
2015/02/09 16:26:40,17.6
2015/02/09 16:26:50,17.4
2015/02/09 16:27:01,17.9
2015/02/09 16:27:11,18.3
2015/02/09 16:27:22,18.7
2015/02/09 16:27:33,18.0
2015/02/09 16:27:43,17.0
2015/02/09 16:27:54,17.5
2015/02/09 16:28:04,17.3
2015/02/09 16:28:15,17.9
2015/02/09 16:28:26,17.8
2015/02/09 16:28:36,17.6
2015/02/09 16:28:47,17.6
2015/02/09 16:28:57,17.6
2015/02/09 16:29:08,18.0
2015/02/09 16:29:18,17.6
2015/02/09 16:29:29,17.9
2015/02/09 16:29:40,17.7
2015/02/09 16:29:50,17.8
2015/02/09 16:30:01,18.0
2015/02/09 16:30:11,17.9
2015/02/09 16:30:22,18.0
2015/02/09 16:30:33,18.0
2015/02/09 16:30:43,18.0
2015/02/09 16:30:54,17.9
2015/02/09 16:31:04,17.9
2015/02/09 16:31:15,17.9
2015/02/09 16:31:25,17.7
2015/02/09 16:31:36,17.3
2015/02/09 16:31:47,17.6
2015/02/09 16:31:57,17.9
2015/02/09 16:32:08,17.9
2015/02/09 16:32:18,18.0
2015/02/09 16:32:29,18.0
2015/02/09 16:32:40,17.6
2015/02/09 16:32:50,18.4
2015/02/09 16:33:01,17.5
2015/02/09 16:33:11,17.3
2015/02/09 16:33:22,17.4
2015/02/09 16:33:32,17.5
2015/02/09 16:33:43,17.6
2015/02/09 16:33:54,17.7
2015/02/09 16:34:04,17.5
2015/02/09 16:34:15,18.5
2015/02/09 16:34:25,17.4
2015/02/09 16:34:36,17.5
2015/02/09 16:34:46,17.3
2015/02/09 16:34:57,16.7
2015/02/09 16:35:08,17.0
2015/02/09 16:35:18,17.0
2015/02/09 16:35:29,17.0
2015/02/09 16:35:39,17.0
2015/02/09 16:35:50,16.4
2015/02/09 16:36:01,16.3
2015/02/09 16:36:11,15.7
2015/02/09 16:36:22,16.2
2015/02/09 16:36:32,16.4
2015/02/09 16:36:43,16.8
2015/02/09 16:36:53,16.7
2015/02/09 16:37:04,16.6
2015/02/09 16:37:15,17.0
2015/02/09 16:37:25,16.1
2015/02/09 16:37:36,16.1
2015/02/09 16:37:47,17.0
2015/02/09 16:37:57,17.0
2015/02/09 16:38:08,17.2
2015/02/09 16:38:18,17.2
2015/02/09 16:38:29,17.3
2015/02/09 16:38:40,17.2
2015/02/09 16:38:50,17.3
2015/02/09 16:39:01,17.2
2015/02/09 16:39:11,17.3
2015/02/09 16:39:22,17.1
2015/02/09 16:39:32,17.1
2015/02/09 16:39:43,17.3
2015/02/09 16:39:54,17.3
2015/02/09 16:40:04,16.6
2015/02/09 16:40:15,16.2
2015/02/09 16:40:25,15.6
2015/02/09 16:40:36,16.0
2015/02/09 16:40:46,16.4
2015/02/09 16:40:57,16.2
2015/02/09 16:41:08,16.2
2015/02/09 16:41:18,16.3
2015/02/09 16:41:29,16.2
2015/02/09 16:41:39,16.4
2015/02/09 16:41:50,16.4
2015/02/09 16:42:00,16.4
2015/02/09 16:42:11,16.4
2015/02/09 16:42:22,16.4
2015/02/09 16:42:32,16.4
2015/02/09 16:42:43,16.7
2015/02/09 16:42:53,17.0
2015/02/09 16:43:04,17.1
2015/02/09 16:43:14,17.3
2015/02/09 16:43:25,16.7
2015/02/09 16:43:36,17.6
2015/02/09 16:43:46,17.2
2015/02/09 16:43:57,17.3
2015/02/09 16:44:07,16.7
2015/02/09 16:44:18,17.7
2015/02/09 16:44:29,17.6
2015/02/09 16:44:39,18.1
2015/02/09 16:44:50,17.6
2015/02/09 16:45:00,17.6
2015/02/09 16:45:11,17.5
2015/02/09 16:45:22,17.6
2015/02/09 16:45:32,17.8
2015/02/09 16:45:43,17.2
2015/02/09 16:45:53,17.8
2015/02/09 16:46:04,17.5
2015/02/09 16:46:14,17.7
2015/02/09 16:46:25,17.6
2015/02/09 16:46:36,17.7
2015/02/09 16:46:46,17.6
2015/02/09 16:46:57,17.3
2015/02/09 16:47:07,17.6
2015/02/09 16:47:18,17.3
2015/02/09 16:47:28,17.4
2015/02/09 16:47:39,16.6
2015/02/09 16:47:50,17.0
2015/02/09 16:48:00,17.0
2015/02/09 16:48:11,17.2
2015/02/09 16:48:21,17.0
2015/02/09 16:48:32,16.6
2015/02/09 16:48:42,16.6
2015/02/09 16:48:53,17.1
2015/02/09 16:49:04,17.3
2015/02/09 16:49:14,17.3
2015/02/09 16:49:25,16.7
2015/02/09 16:49:35,17.1
2015/02/09 16:49:46,16.8
2015/02/09 16:49:56,16.4
2015/02/09 16:50:07,16.8
2015/02/09 16:50:18,16.7
2015/02/09 16:50:28,16.6
2015/02/09 16:50:39,16.8
2015/02/09 16:50:49,17.3
2015/02/09 16:51:00,17.3
2015/02/09 16:51:10,16.6
2015/02/09 16:51:21,17.1
2015/02/09 16:51:32,17.2
2015/02/09 16:51:42,16.8
2015/02/09 16:51:53,17.2
2015/02/09 16:52:03,16.9
2015/02/09 16:52:14,17.1
2015/02/09 16:52:24,17.0
2015/02/09 16:52:35,17.3
2015/02/09 16:52:46,17.0
2015/02/09 16:52:56,17.0
2015/02/09 16:53:07,17.0
2015/02/09 16:53:17,17.1
2015/02/09 16:53:28,17.0
2015/02/09 16:53:38,16.9
2015/02/09 16:53:49,17.0
2015/02/09 16:54:00,16.9
2015/02/09 16:54:10,16.8
2015/02/09 16:54:21,17.0
2015/02/09 16:54:31,17.1
2015/02/09 16:54:42,17.2
2015/02/09 16:54:52,17.4
2015/02/09 16:55:03,17.0
2015/02/09 16:55:14,17.2
2015/02/09 16:55:24,17.1
2015/02/09 16:55:35,17.1
2015/02/09 16:55:45,17.3
2015/02/09 16:55:56,17.3
2015/02/09 16:56:06,17.4
2015/02/09 16:56:17,17.4
2015/02/09 16:56:28,17.3
2015/02/09 16:56:38,17.4
2015/02/09 16:56:49,17.4
2015/02/09 16:56:59,17.5
2015/02/09 16:57:10,17.3
2015/02/09 16:57:21,17.5
2015/02/09 16:57:31,17.4
2015/02/09 16:57:42,17.3
2015/02/09 16:57:52,17.0
2015/02/09 16:58:03,17.1
2015/02/09 16:58:14,16.9
2015/02/09 16:58:24,17.0
2015/02/09 16:58:35,17.0
2015/02/09 16:58:45,17.1
2015/02/09 16:58:56,16.6
2015/02/09 16:59:06,16.6
2015/02/09 16:59:17,15.6
2015/02/09 16:59:28,15.9
2015/02/09 16:59:38,16.1
2015/02/09 16:59:49,15.8
2015/02/09 16:59:59,16.6
2015/02/09 17:00:10,16.5
2015/02/09 17:00:20,16.6
2015/02/09 17:00:31,15.9
2015/02/09 17:00:41,16.1
2015/02/09 17:00:52,16.4
2015/02/09 17:01:03,15.9
2015/02/09 17:01:13,16.3
2015/02/09 17:01:24,16.4
2015/02/09 17:01:34,15.9
2015/02/09 17:01:45,16.6
2015/02/09 17:01:55,16.6
2015/02/09 17:02:06,16.4
2015/02/09 17:02:17,16.5
2015/02/09 17:02:27,16.6
2015/02/09 17:02:38,16.4
2015/02/09 17:02:48,17.0
2015/02/09 17:02:59,16.9
2015/02/09 17:03:09,16.3
2015/02/09 17:03:20,16.7
2015/02/09 17:03:31,16.7
2015/02/09 17:03:41,16.6
2015/02/09 17:03:52,16.0
2015/02/09 17:04:02,15.9
2015/02/09 17:04:13,15.9
2015/02/09 17:04:23,16.5
2015/02/09 17:04:34,15.7
2015/02/09 17:04:45,16.5
2015/02/09 17:04:55,16.3
2015/02/09 17:05:06,16.5
2015/02/09 17:05:16,16.7
2015/02/09 17:05:27,16.7
2015/02/09 17:05:37,16.5
2015/02/09 17:05:48,16.5
2015/02/09 17:05:58,16.5
2015/02/09 17:06:09,16.4
2015/02/09 17:06:20,16.3
2015/02/09 17:06:30,16.3
2015/02/09 17:06:41,16.5
2015/02/09 17:06:51,16.1
2015/02/09 17:07:02,16.2
2015/02/09 17:07:13,15.9
2015/02/09 17:07:23,16.1
2015/02/09 17:07:34,16.1
2015/02/09 17:07:44,15.9
2015/02/09 17:07:55,16.4
2015/02/09 17:08:05,16.1
2015/02/09 17:08:16,16.2
2015/02/09 17:08:27,16.1
2015/02/09 17:08:37,16.0
2015/02/09 17:08:48,16.6
2015/02/09 17:08:58,16.1
2015/02/09 17:09:09,16.3
2015/02/09 17:09:19,16.4
2015/02/09 17:09:30,16.5
2015/02/09 17:09:41,16.1
2015/02/09 17:09:51,16.7
2015/02/09 17:10:02,16.7
2015/02/09 17:10:12,16.8
2015/02/09 17:10:23,16.2
2015/02/09 17:10:33,16.5
2015/02/09 17:10:44,15.9
2015/02/09 17:10:54,16.2
2015/02/09 17:11:05,16.4
2015/02/09 17:11:16,16.3
2015/02/09 17:11:26,16.5
2015/02/09 17:11:37,16.1
2015/02/09 17:11:47,16.7
2015/02/09 17:11:58,15.2
2015/02/09 17:12:08,16.1
2015/02/09 17:12:19,16.4
2015/02/09 17:12:30,16.4
2015/02/09 17:12:40,16.4
2015/02/09 17:12:51,16.6
2015/02/09 17:13:01,16.4
2015/02/09 17:13:12,15.6
2015/02/09 17:13:22,16.0
2015/02/09 17:13:33,15.9
2015/02/09 17:13:44,15.9
2015/02/09 17:13:54,15.8
2015/02/09 17:14:05,16.1
2015/02/09 17:14:15,14.5
2015/02/09 17:14:26,14.8
2015/02/09 17:14:36,14.0
2015/02/09 17:14:47,14.2
